channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
1,3,0,4,8,8,0,676906.125,678075.750,1169.625
1,4,0,5,10,13,3,681061.500,689318.562,8257.062
1,5,3,0,36,37,1,735229.625,738686.938,3457.312
1,10,3,5,46,46,0,756049.500,756268.250,218.750
1,12,4,1,50,50,0,764381.500,765650.812,1269.312
1,13,4,2,52,52,0,768547.500,770057.562,1510.062
1,14,4,3,54,55,1,772719.875,775717.000,2997.125
1,15,4,4,56,57,1,776879.500,780400.625,3521.125
1,16,4,5,58,60,2,781045.500,786172.375,5126.875
1,17,9,0,108,108,0,885195.562,886729.188,1533.625
1,18,9,1,110,111,1,889372.688,892366.750,2994.062
1,19,9,2,112,113,1,893527.500,897236.000,3708.500
1,21,9,4,116,116,0,901871.188,903434.062,1562.875
1,22,9,5,118,119,1,906025.562,908595.625,2570.062
1,23,15,0,180,180,0,1035171.500,1036827.688,1656.188
1,24,15,1,182,183,1,1039348.062,1042097.500,2749.438
1,25,15,2,184,185,1,1043503.500,1046782.750,3279.250
1,27,15,4,188,188,0,1051835.562,1053026.188,1190.625
1,28,15,5,190,190,0,1056002.688,1058052.562,2049.875
1,29,0,0,192,193,1,1060167.562,1063176.750,3009.188
1,30,0,1,194,195,1,1064333.750,1068234.812,3901.062
1,32,0,3,198,198,0,1072672.500,1074238.438,1565.938
1,33,0,4,200,201,1,1076843.125,1079891.875,3048.750
1,34,0,5,202,203,1,1080998.312,1084647.188,3648.875
1,35,3,0,228,228,0,1135155.562,1136818.500,1662.938
1,36,3,1,230,231,1,1139323.188,1142446.812,3123.625
1,37,3,2,232,233,1,1143487.562,1147128.938,3641.375
1,39,3,4,236,236,0,1151831.125,1153345.562,1514.438
1,40,3,5,238,239,1,1155991.125,1158497.875,2506.750
1,41,4,0,240,241,1,1160151.500,1163561.125,3409.625
1,43,4,2,244,244,0,1168483.562,1169752.938,1269.375
1,44,4,3,246,247,1,1172650.125,1175472.375,2822.250
1,45,4,4,248,249,1,1176815.562,1180747.062,3931.500
1,46,4,5,250,252,2,1180981.500,1186090.188,5108.688
1,47,9,0,300,300,0,1285131.562,1286718.625,1587.062
1,48,9,1,302,302,0,1289297.500,1291380.375,2082.875
1,49,9,2,304,305,1,1293464.312,1296618.938,3154.625
1,50,9,3,306,307,1,1297629.625,1301667.062,4037.438
1,52,9,5,310,310,0,1305961.500,1307010.875,1049.375
1,53,15,0,372,372,0,1435107.500,1436691.625,1584.125
1,54,15,1,374,375,1,1439273.500,1442325.938,3052.438
1,55,15,2,376,377,1,1443439.500,1447282.500,3843.000
1,57,15,4,380,380,0,1451782.812,1453242.688,1459.875
1,58,15,5,382,383,1,1455937.562,1458416.125,2478.562
1,59,0,0,384,385,1,1460103.500,1463432.875,3329.375
1,61,0,2,388,388,0,1468435.625,1469807.250,1371.625
1,62,0,3,390,390,0,1472603.312,1474659.562,2056.250
1,63,0,4,392,393,1,1476767.500,1479884.375,3116.875
1,64,0,5,394,395,1,1480935.688,1485043.812,4108.125
1,65,3,0,420,420,0,1535091.500,1536679.812,1588.312
1,66,3,1,422,422,0,1539266.812,1540769.562,1502.750
1,67,3,2,424,424,0,1543423.500,1545428.812,2005.312
1,68,3,3,426,427,1,1547589.500,1550670.375,3080.875
1,69,3,4,428,429,1,1551755.500,1555823.000,4067.500
1,71,4,0,432,432,0,1560088.000,1561985.625,1897.625
1,72,4,1,434,435,1,1564256.250,1567226.438,2970.188
1,73,4,2,436,437,1,1568431.625,1572183.250,3751.625
1,75,4,4,440,440,0,1576751.562,1578319.188,1567.625
1,76,4,5,442,442,0,1580927.062,1582361.188,1434.125
1,77,9,0,492,492,0,1685067.500,1686631.375,1563.875
1,78,9,1,494,495,1,1689234.062,1692256.688,3022.625
1,79,9,2,496,497,1,1693399.562,1696935.812,3536.250
1,81,9,4,500,500,0,1701734.562,1703136.750,1402.188
1,82,9,5,502,503,1,1705897.500,1708274.125,2376.625
1,83,15,0,564,564,0,1835043.500,1836656.375,1612.875
1,84,15,1,566,567,1,1839209.500,1841901.688,2692.188
1,85,15,2,568,569,1,1843375.562,1846384.875,3009.312
1,86,15,3,570,571,1,1847542.938,1851697.812,4154.875
1,88,15,5,574,574,0,1855881.000,1856852.812,971.812
1,89,0,0,576,576,0,1860039.500,1861812.188,1772.688
1,90,0,1,578,579,1,1864205.562,1867261.312,3055.750
1,91,0,2,580,581,1,1868372.188,1872128.750,3756.562
1,93,0,4,584,584,0,1876703.500,1878311.562,1608.062
1,94,0,5,586,586,0,1880880.062,1882338.938,1458.875
1,95,3,0,612,612,0,1935027.500,1936537.375,1509.875
1,96,3,1,614,615,1,1939193.562,1942165.688,2972.125
1,97,3,2,616,617,1,1943359.500,1946835.562,3476.062
1,99,3,4,620,620,0,1951691.562,1953042.500,1350.938
1,100,3,5,622,623,1,1955857.500,1958182.562,2325.062
1,101,4,0,624,625,1,1960023.688,1963201.438,3177.750
1,102,4,1,626,627,1,1964201.625,1967273.812,3072.188
1,103,4,2,628,629,1,1968355.500,1972361.562,4006.062
1,105,4,4,632,632,0,1976687.500,1978170.875,1483.375
1,106,4,5,634,634,0,1980864.875,1982578.312,1713.438
1,107,9,0,684,684,0,2085003.500,2086659.375,1655.875
1,108,9,1,686,686,0,2089169.500,2091119.062,1949.562
1,109,9,2,688,688,0,2093335.562,2095407.125,2071.562
1,110,9,3,690,691,1,2097502.812,2100604.188,3101.375
1,111,9,4,692,693,1,2101667.562,2105485.375,3817.812
1,112,9,5,694,696,2,2105842.562,2111021.562,5179.000
1,113,15,0,756,756,0,2234979.562,2236514.312,1534.750
1,114,15,1,758,759,1,2239145.562,2242148.625,3003.062
1,115,15,2,760,761,1,2243311.625,2246849.000,3537.375
1,117,15,4,764,764,0,2251643.500,2253077.312,1433.812
1,118,15,5,766,767,1,2255809.500,2258238.500,2429.000
1,119,0,0,768,769,1,2259975.500,2263243.312,3267.812
1,120,0,1,770,771,1,2264141.812,2268301.062,4159.250
1,122,0,3,774,774,0,2272477.062,2273882.438,1405.375
1,123,0,4,776,776,0,2276639.500,2278537.188,1897.688
1,124,0,5,778,779,1,2280805.500,2283672.750,2867.250
1,125,3,0,804,804,0,2334963.562,2336498.812,1535.250
1,126,3,1,806,806,0,2339129.500,2340973.750,1844.250
1,127,3,2,808,809,1,2343295.500,2346405.125,3109.625
1,128,3,3,810,811,1,2347461.500,2350464.875,3003.375
1,129,3,4,812,813,1,2351627.500,2355349.062,3721.562
1,131,4,0,816,816,0,2359959.500,2361804.625,1845.125
1,132,4,1,818,819,1,2364125.562,2367259.750,3134.188
1,133,4,2,820,821,1,2368292.562,2371717.562,3425.000
1,135,4,4,824,824,0,2376623.562,2377927.500,1303.938
1,136,4,5,826,827,1,2380789.562,2383069.062,2279.500
1,137,9,0,876,876,0,2484939.500,2486522.500,1583.000
1,138,9,1,878,879,1,2489105.625,2492147.812,3042.188
1,139,9,2,880,881,1,2493271.562,2496612.625,3341.062
1,141,9,4,884,884,0,2501603.500,2502991.125,1387.625
1,142,9,5,886,887,1,2505769.500,2508140.438,2370.938
1,143,15,0,948,948,0,2634915.500,2636496.562,1581.062
1,144,15,1,950,951,1,2639081.625,2641818.875,2737.250
1,145,15,2,952,953,1,2643247.625,2647098.375,3850.750
1,147,15,4,956,956,0,2651579.562,2653136.875,1557.312
1,148,15,5,958,959,1,2655747.875,2658485.000,2737.125
1,149,0,0,960,961,1,2659911.500,2663492.375,3580.875
1,151,0,2,964,964,0,2668243.500,2669674.062,1430.562
1,152,0,3,966,967,1,2672409.500,2675315.250,2905.750
1,153,0,4,968,969,1,2676578.438,2679992.875,3414.438
1,154,0,5,970,972,2,2680742.688,2685715.875,4973.188
1,155,3,0,996,996,0,2734899.500,2736566.312,1666.812
1,156,3,1,998,999,1,2739071.062,2742004.812,2933.750
1,157,3,2,1000,1001,1,2743231.562,2746484.875,3253.312
1,159,3,4,1004,1004,0,2751563.500,2752923.125,1359.625
1,160,3,5,1006,1006,0,2755729.500,2757753.688,2024.188
1,161,4,0,1008,1009,1,2759895.562,2762892.250,2996.688
1,162,4,1,1010,1011,1,2764061.500,2768195.188,4133.688
1,164,4,3,1014,1014,0,2772393.500,2773959.375,1565.875
1,165,4,4,1016,1016,0,2776560.438,2778247.188,1686.750
1,166,4,5,1018,1019,1,2780726.625,2783388.750,2662.125
