channel,kind,tick,us
0,E,2,664402.625
0,E,4,668563.500
0,E,6,672739.188
0,E,8,676906.125
0,E,10,681061.500
0,E,36,735229.625
0,E,38,739385.500
0,E,40,743551.562
0,E,42,747717.500
0,E,44,751883.562
0,E,46,756049.500
0,E,48,760215.500
0,E,50,764381.500
0,E,52,768547.500
0,E,54,772719.875
0,E,56,776879.500
0,E,58,781045.500
0,E,108,885195.562
0,E,110,889372.688
0,E,112,893527.500
0,E,114,897695.438
0,E,116,901871.188
0,E,118,906025.562
0,E,180,1035171.500
0,E,182,1039348.062
0,E,184,1043503.500
0,E,186,1047678.562
0,E,188,1051835.562
0,E,190,1056002.688
0,E,192,1060167.562
0,E,194,1064333.750
0,E,196,1068499.562
0,E,198,1072672.500
0,E,200,1076843.125
0,E,202,1080998.312
0,E,228,1135155.562
0,E,230,1139323.188
0,E,232,1143487.562
0,E,234,1147663.188
0,E,236,1151831.125
0,E,238,1155991.125
0,E,240,1160151.500
0,E,242,1164328.375
0,E,244,1168483.562
0,E,246,1172650.125
0,E,248,1176815.562
0,E,250,1180981.500
0,E,300,1285131.562
0,E,302,1289297.500
0,E,304,1293464.312
0,E,306,1297629.625
0,E,308,1301795.500
0,E,310,1305961.500
0,E,372,1435107.500
0,E,374,1439273.500
0,E,376,1443439.500
0,E,378,1447613.562
0,E,380,1451782.812
0,E,382,1455937.562
0,E,384,1460103.500
0,E,386,1464269.500
0,E,388,1468435.625
0,E,390,1472603.312
0,E,392,1476767.500
0,E,394,1480935.688
0,E,420,1535091.500
0,E,422,1539266.812
0,E,424,1543423.500
0,E,426,1547589.500
0,E,428,1551755.500
0,E,430,1555921.500
0,E,432,1560088.000
0,E,434,1564256.250
0,E,436,1568431.625
0,E,438,1572588.375
0,E,440,1576751.562
0,E,442,1580927.062
0,E,492,1685067.500
0,E,494,1689234.062
0,E,496,1693399.562
0,E,498,1697577.250
0,E,500,1701734.562
0,E,502,1705897.500
0,E,564,1835043.500
0,E,566,1839209.500
0,E,568,1843375.562
0,E,570,1847542.938
0,E,572,1851707.688
0,E,574,1855881.000
0,E,576,1860039.500
0,E,578,1864205.562
0,E,580,1868372.188
0,E,582,1872537.562
0,E,584,1876703.500
0,E,586,1880880.062
0,E,612,1935027.500
0,E,614,1939193.562
0,E,616,1943359.500
0,E,618,1947532.812
0,E,620,1951691.562
0,E,622,1955857.500
0,E,624,1960023.688
0,E,626,1964201.625
0,E,628,1968355.500
0,E,630,1972533.438
0,E,632,1976687.500
0,E,634,1980864.875
0,E,684,2085003.500
0,E,686,2089169.500
0,E,688,2093335.562
0,E,690,2097502.812
0,E,692,2101667.562
0,E,694,2105842.562
0,E,756,2234979.562
0,E,758,2239145.562
0,E,760,2243311.625
0,E,762,2247486.688
0,E,764,2251643.500
0,E,766,2255809.500
0,E,768,2259975.500
0,E,770,2264141.812
0,E,772,2268307.500
0,E,774,2272477.062
0,E,776,2276639.500
0,E,778,2280805.500
0,E,804,2334963.562
0,E,806,2339129.500
0,E,808,2343295.500
0,E,810,2347461.500
0,E,812,2351627.500
0,E,814,2355804.000
0,E,816,2359959.500
0,E,818,2364125.562
0,E,820,2368292.562
0,E,822,2372461.875
0,E,824,2376623.562
0,E,826,2380789.562
0,E,876,2484939.500
0,E,878,2489105.625
0,E,880,2493271.562
0,E,882,2497437.500
0,E,884,2501603.500
0,E,886,2505769.500
0,E,948,2634915.500
0,E,950,2639081.625
0,E,952,2643247.625
0,E,954,2647413.500
0,E,956,2651579.562
0,E,958,2655747.875
0,E,960,2659911.500
0,E,962,2664077.500
0,E,964,2668243.500
0,E,966,2672409.500
0,E,968,2676578.438
0,E,970,2680742.688
0,E,996,2734899.500
0,E,998,2739071.062
0,E,1000,2743231.562
0,E,1002,2747406.562
0,E,1004,2751563.500
0,E,1006,2755729.500
0,E,1008,2759895.562
0,E,1010,2764061.500
0,E,1012,2768227.562
0,E,1014,2772393.500
0,E,1016,2776560.438
0,E,1018,2780726.625
0,E,1068,2884875.688
0,E,1070,2889041.562
0,E,1072,2893207.812
0,E,1074,2897373.500
0,E,1076,2901539.500
0,E,1078,2905716.250
0,E,1140,3034851.562
0,E,1142,3039017.500
0,E,1144,3043183.562
0,E,1146,3047349.500
0,E,1148,3051515.562
0,E,1150,3055691.875
0,E,1152,3059847.500
0,E,1154,3064019.812
0,E,1156,3068190.875
0,E,1158,3072345.562
0,E,1160,3076511.562
0,E,1162,3080677.812
0,E,1188,3134835.750
0,E,1190,3139001.500
0,E,1192,3143171.125
0,E,1194,3147335.312
0,E,1196,3151499.500
0,E,1198,3155666.188
