channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
1,0,3,0,288,288,0,1851287.062,1852000.625,713.562
1,1,4,0,384,384,0,2351250.062,2351962.062,712.000
1,2,9,0,864,864,0,4851090.125,4851822.500,732.375
1,3,15,0,1440,1440,0,7850902.500,7851613.188,710.688
1,4,0,0,1536,1536,0,8350866.062,8351625.875,759.812
1,5,3,0,1824,1824,0,9850770.062,9851505.312,735.250
1,6,4,0,1920,1920,0,10350745.438,10351396.062,650.625
1,7,9,0,2400,2400,0,12850578.188,12851336.375,758.188
1,8,15,0,2976,2976,0,15850386.125,15851120.500,734.375
1,9,0,0,3072,3072,0,16350354.062,16350957.250,603.188
1,10,3,0,3360,3360,0,17850258.125,17850909.875,651.750
1,11,4,0,3456,3456,0,18350232.250,18350891.688,659.438
1,12,9,0,3936,3936,0,20850066.188,20850744.062,677.875
1,13,15,0,4512,4512,0,23849878.688,23850557.750,679.062
1,14,0,0,4608,4608,0,24349849.500,24350482.250,632.750
1,15,3,0,4896,4896,0,25849752.188,25850361.188,609.000
1,16,4,0,4992,4992,0,26349721.062,26350328.500,607.438
1,17,9,0,5472,5472,0,28849554.125,28850319.312,765.188
1,18,15,0,6048,6048,0,31849366.562,31850077.250,710.688
1,19,0,0,6144,6144,0,32349330.188,32350062.438,732.250
1,20,3,0,6432,6432,0,33849234.062,33849886.000,651.938
1,21,4,0,6528,6528,0,34349208.375,34349867.812,659.438
1,22,9,0,7008,7008,0,36849042.062,36849799.062,757.000
1,23,15,0,7584,7584,0,39848854.688,39849533.750,679.062
1,24,0,0,7680,7680,0,40348825.500,40349458.250,632.750
1,25,3,0,7968,7968,0,41848728.188,41849337.188,609.000
1,26,4,0,8064,8064,0,42348697.062,42349304.500,607.438
1,27,9,0,8544,8544,0,44848530.125,44849295.312,765.188
1,28,15,0,9120,9120,0,47848342.750,47848975.875,633.125
1,29,0,0,9216,9216,0,48348312.500,48348940.438,627.938
1,30,3,0,9504,9504,0,49848210.062,49848861.938,651.875
1,31,4,0,9600,9600,0,50348186.562,50348843.750,657.188
1,32,9,0,10080,10080,0,52848027.562,52848742.688,715.125
1,33,15,0,10656,10656,0,55847831.188,55848583.312,752.125
1,34,0,0,10752,10752,0,56347794.125,56348397.312,603.188
1,35,3,0,11040,11040,0,57847703.500,57848358.438,654.938
1,36,4,0,11136,11136,0,58347672.312,58348331.750,659.438
1,37,9,0,11616,11616,0,60847506.125,60848132.750,626.625
1,38,15,0,12192,12192,0,63847314.062,63848048.438,734.375
1,39,0,0,12288,12288,0,64347282.062,64348041.875,759.812
1,40,3,0,12576,12576,0,65847191.188,65847872.062,680.875
1,41,4,0,12672,12672,0,66347160.750,66347835.812,675.062
1,42,9,0,13152,13152,0,68846994.188,68847697.812,703.625
1,43,15,0,13728,13728,0,71846806.500,71847517.188,710.688
1,44,0,0,13824,13824,0,72346770.062,72347529.875,759.812
1,45,3,0,14112,14112,0,73846679.000,73847438.812,759.812
1,46,4,0,14208,14208,0,74346642.125,74347379.750,737.625
1,47,9,0,14688,14688,0,76846482.062,76847157.500,675.438
1,48,15,0,15264,15264,0,79846294.375,79847073.500,779.125
1,49,0,0,15360,15360,0,80346258.062,80346861.250,603.188
1,50,3,0,15648,15648,0,81846162.125,81846785.875,623.750
1,51,4,0,15744,15744,0,82346130.062,82346913.062,783.000
1,52,9,0,16224,16224,0,84845970.062,84846645.375,675.312
1,53,15,0,16800,16800,0,87845784.125,87846437.250,653.125
1,54,0,0,16896,16896,0,88345755.188,88346429.562,674.375
1,55,3,0,17184,17184,0,89845650.188,89846300.750,650.562
1,56,4,0,17280,17280,0,90345618.125,90346319.875,701.750
1,57,9,0,17760,17760,0,92845458.125,92846084.375,626.250
1,58,15,0,18336,18336,0,95845271.188,95846023.312,752.125
1,59,0,0,18432,18432,0,96345234.125,96345837.312,603.188
1,60,3,0,18720,18720,0,97845143.188,97845903.000,759.812
1,61,4,0,18816,18816,0,98345112.812,98345735.938,623.125
1,62,9,0,19296,19296,0,100844955.562,100845670.688,715.125
1,63,15,0,19872,19872,0,103844759.188,103845511.312,752.125
1,64,0,0,19968,19968,0,104344722.125,104345325.312,603.188
1,65,3,0,20256,20256,0,105844631.125,105845390.938,759.812
1,66,4,0,20352,20352,0,106344594.062,106345228.938,634.875
1,67,9,0,20832,20832,0,108844434.062,108845109.500,675.438
1,68,15,0,21408,21408,0,111844246.750,111844879.875,633.125
1,69,0,0,21504,21504,0,112344216.500,112344844.438,627.938
1,70,3,0,21792,21792,0,113844114.125,113844738.875,624.750
1,71,4,0,21888,21888,0,114344082.062,114344865.062,783.000
1,72,9,0,22368,22368,0,116843922.062,116844597.375,675.312
1,73,15,0,22944,22944,0,119843734.688,119844413.750,679.062
1,74,0,0,23040,23040,0,120343705.500,120344338.250,632.750
1,75,3,0,23328,23328,0,121843607.125,121844366.938,759.812
1,76,4,0,23424,23424,0,122343570.125,122344230.688,660.562
1,77,9,0,23904,23904,0,124843410.062,124844085.688,675.625
1,78,15,0,24480,24480,0,127843218.125,127843952.375,734.250
1,79,0,0,24576,24576,0,128343186.062,128343890.938,704.875
1,80,3,0,24864,24864,0,129843095.312,129843726.125,630.812
1,81,4,0,24960,24960,0,130343064.562,130343698.125,633.562
1,82,9,0,25440,25440,0,132842898.188,132843557.312,659.125
1,83,15,0,26016,26016,0,135842710.438,135843493.062,782.625
1,84,0,0,26112,26112,0,136342674.125,136343277.312,603.188
1,85,3,0,26400,26400,0,137842583.500,137843238.438,654.938
1,86,4,0,26496,26496,0,138342552.312,138343211.750,659.438
1,87,9,0,26976,26976,0,140842386.125,140843061.188,675.062
1,88,15,0,27552,27552,0,143842199.125,143842977.188,778.062
1,89,0,0,27648,27648,0,144342162.062,144342765.125,603.062
1,90,3,0,27936,27936,0,145842070.312,145842831.188,760.875
1,91,4,0,28032,28032,0,146342041.000,146342664.125,623.125
1,92,9,0,28512,28512,0,148841874.062,148842549.375,675.312
1,93,15,0,29088,29088,0,151841687.188,151842465.250,778.062
1,94,0,0,29184,29184,0,152341657.500,152342290.250,632.750
1,95,3,0,29472,29472,0,153841560.188,153842169.188,609.000
1,96,4,0,29568,29568,0,154341529.062,154342136.500,607.438
1,97,9,0,30048,30048,0,156841362.125,156842037.438,675.312
1,98,15,0,30624,30624,0,159841175.125,159841953.188,778.062
1,99,0,0,30720,30720,0,160341138.062,160341741.125,603.062
1,100,3,0,31008,31008,0,161841042.125,161841665.875,623.750
1,101,4,0,31104,31104,0,162341010.062,162341793.062,783.000
1,102,9,0,31584,31584,0,164840850.062,164841525.375,675.312
1,103,15,0,32160,32160,0,167840663.188,167841441.250,778.062
1,104,0,0,32256,32256,0,168340633.500,168341266.250,632.750
1,105,3,0,32544,32544,0,169840536.188,169841145.188,609.000
1,106,4,0,32640,32640,0,170340505.062,170341112.500,607.438
1,107,9,0,33120,33120,0,172840338.125,172841013.438,675.312
1,108,15,0,33696,33696,0,175840146.062,175840880.438,734.375
1,109,0,0,33792,33792,0,176340121.375,176340754.125,632.750
1,110,3,0,34080,34080,0,177840018.062,177840779.125,761.062
1,111,4,0,34176,34176,0,178339986.125,178340646.312,660.188
1,112,9,0,34656,34656,0,180839826.125,180840433.562,607.438
1,113,15,0,35232,35232,0,183839639.188,183840417.250,778.062
1,114,0,0,35328,35328,0,184339609.500,184340242.250,632.750
1,115,3,0,35616,35616,0,185839512.188,185840121.188,609.000
1,116,4,0,35712,35712,0,186339481.062,186340088.500,607.438
1,117,9,0,36192,36192,0,188839314.750,188840002.000,687.250
1,118,15,0,36768,36768,0,191839127.188,191839832.000,704.812
1,119,0,0,36864,36864,0,192339090.062,192339849.875,759.812
1,120,3,0,37152,37152,0,193838998.312,193839759.188,760.875
1,121,4,0,37248,37248,0,194338969.000,194339592.125,623.125
1,122,9,0,37728,37728,0,196838811.562,196839526.688,715.125
1,123,15,0,38304,38304,0,199838615.188,199839393.250,778.062
1,124,0,0,38400,38400,0,200338585.500,200339218.250,632.750
1,125,3,0,38688,38688,0,201838488.188,201839097.188,609.000
1,126,4,0,38784,38784,0,202338457.062,202339064.500,607.438
1,127,9,0,39264,39264,0,204838290.125,204838965.438,675.312
1,128,15,0,39840,39840,0,207838103.125,207838807.938,704.812
1,129,0,0,39936,39936,0,208338066.062,208338825.812,759.750
1,130,3,0,40224,40224,0,209837975.062,209838734.875,759.812
1,131,4,0,40320,40320,0,210337938.125,210338598.312,660.188
1,132,9,0,40800,40800,0,212837778.062,212838404.312,626.250
1,133,15,0,41376,41376,0,215837590.438,215838373.062,782.625
1,134,0,0,41472,41472,0,216337554.125,216338157.312,603.188
1,135,3,0,41760,41760,0,217837464.188,217838073.188,609.000
1,136,4,0,41856,41856,0,218337433.062,218338040.500,607.438
1,137,9,0,42336,42336,0,220837276.750,220838036.938,760.188
1,138,15,0,42912,42912,0,223837079.125,223837783.938,704.812
1,139,0,0,43008,43008,0,224337042.062,224337801.812,759.750
1,140,3,0,43296,43296,0,225836952.375,225837710.875,758.500
1,141,4,0,43392,43392,0,226336914.125,226337574.312,660.188
1,142,9,0,43872,43872,0,228836754.188,228837512.375,758.188
1,143,15,0,44448,44448,0,231836567.188,231837345.250,778.062
1,144,0,0,44544,44544,0,232336537.500,232337170.250,632.750
1,145,3,0,44832,44832,0,233836434.062,233837084.938,650.875
1,146,4,0,44928,44928,0,234336408.312,234337067.750,659.438
1,147,9,0,45408,45408,0,236836242.062,236836954.188,712.125
1,148,15,0,45984,45984,0,239836055.125,239836759.938,704.812
1,149,0,0,46080,46080,0,240336018.062,240336777.812,759.750
