channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
1,0,3,0,288,288,0,2158554.062,2159240.438,686.375
1,1,4,0,384,384,0,2658524.875,2659151.812,626.938
1,2,9,0,864,865,1,5158367.625,5165608.500,7240.875
1,3,15,0,1440,1440,0,8158173.250,8158910.812,737.562
1,4,0,0,1536,1536,0,8658145.062,8658852.688,707.625
1,5,3,0,1824,1824,0,10158042.062,10158776.438,734.375
1,6,4,0,1920,1920,0,10658014.812,10658772.938,758.125
1,7,9,0,2400,2400,0,13157860.188,13158594.750,734.562
1,8,15,0,2976,2976,0,16157658.125,16158359.250,701.125
1,9,0,0,3072,3072,0,16657630.812,16658357.375,726.562
1,10,3,0,3360,3360,0,18157535.188,18158273.375,738.188
1,11,4,0,3456,3456,0,18657501.625,18658206.625,705.000
1,12,9,0,3936,3936,0,21157348.375,21157972.500,624.125
1,13,15,0,4512,4512,0,24157149.375,24157886.938,737.562
1,14,0,0,4608,4608,0,24657121.188,24657828.812,707.625
1,15,3,0,4896,4896,0,26157018.125,26157668.312,650.188
1,16,4,0,4992,4992,0,26656991.438,26657671.750,680.312
1,17,9,0,5472,5472,0,29156831.375,29157563.750,732.375
1,18,15,0,6048,6048,0,32156637.688,32157394.125,756.438
1,19,0,0,6144,6144,0,32656605.125,32657331.688,726.562
1,20,3,0,6432,6432,0,34156506.062,34157259.938,753.875
1,21,4,0,6528,6528,0,34656479.000,34657166.375,687.375
1,22,9,0,7008,7008,0,37156319.688,37156928.938,609.250
1,23,15,0,7584,7584,0,40156122.062,40156822.188,700.125
1,24,0,0,7680,7680,0,40656094.938,40656795.500,700.562
1,25,3,0,7968,7968,0,42155994.188,42156720.750,726.562
1,26,4,0,8064,8064,0,42655967.438,42656590.188,622.750
1,27,9,0,8544,8544,0,45155807.938,45156417.250,609.312
1,28,15,0,9120,9120,0,48155610.125,48156337.000,726.875
1,29,0,0,9216,9216,0,48655581.500,48656320.562,739.062
1,30,3,0,9504,9504,0,50155482.188,50156208.750,726.562
1,31,4,0,9600,9600,0,50655455.750,50656078.500,622.750
1,32,9,0,10080,10080,0,53155295.375,53156027.750,732.375
1,33,15,0,10656,10656,0,56155098.188,56155806.125,707.938
1,34,0,0,10752,10752,0,56655072.000,56655831.750,759.750
1,35,3,0,11040,11040,0,58154970.062,58155696.438,726.375
1,36,4,0,11136,11136,0,58654946.562,58655730.500,783.938
2,0,3,0,288,288,0,2158554.062,2159261.250,707.188
2,1,4,0,384,384,0,2658524.875,2659160.375,635.500
2,2,9,0,864,865,1,5158367.625,5165764.062,7396.438
2,3,15,0,1440,1440,0,8158173.250,8158931.625,758.375
2,4,0,0,1536,1536,0,8658145.062,8658873.500,728.438
2,5,3,0,1824,1824,0,10158042.062,10158797.250,755.188
2,6,4,0,1920,1920,0,10658014.812,10658793.750,778.938
2,7,9,0,2400,2400,0,13157860.188,13158615.562,755.375
2,8,15,0,2976,2976,0,16157658.125,16158367.812,709.688
2,9,0,0,3072,3072,0,16657630.812,16658365.938,735.125
2,10,3,0,3360,3360,0,18157535.188,18158294.188,759.000
2,11,4,0,3456,3456,0,18657501.625,18658215.188,713.562
2,12,9,0,3936,3936,0,21157348.375,21157981.062,632.688
2,13,15,0,4512,4512,0,24157149.375,24157907.750,758.375
2,14,0,0,4608,4608,0,24657121.188,24657849.625,728.438
2,15,3,0,4896,4896,0,26157018.125,26157676.875,658.750
2,16,4,0,4992,4992,0,26656991.438,26657692.562,701.125
2,17,9,0,5472,5472,0,29156831.375,29157584.562,753.188
2,18,15,0,6048,6048,0,32156637.688,32157402.688,765.000
2,19,0,0,6144,6144,0,32656605.125,32657340.250,735.125
